Ranking,Region,Depression Cases 2021
1,India,62492652
2,China,53114656
3,United States,19166791
4,Brazil,10667497
5,Pakistan,8897908
6,Bangladesh,8825525
7,Indonesia,8347347
8,Russia,6769072
9,Nigeria,6457991
10,Mexico,5968591
11,Iran,5211454
12,Egypt,4491163
13,Ethiopia,4286656
14,DR Congo,4282124
15,Turkey,4275538
16,Germany,4109394
17,United Kingdom,3973993
18,Japan,3831422
19,Philippines,3709737
20,France,3522679
21,Italy,3209199
22,South Africa,3078884
23,Vietnam,2935092
24,Spain,2891041
25,Ukraine,2701440
26,Thailand,2663108
27,Morocco,2326646
28,Tanzania,2298479
29,Uganda,2282259
30,Kenya,2130736
31,Algeria,2043956
32,Saudi Arabia,1993939
33,Sudan,1935912
34,Nepal,1769725
35,Iraq,1729589
36,Canada,1615264
37,Angola,1601652
38,Argentina,1545527
39,Myanmar,1490808
40,South Korea,1477946
41,Yemen,1450562
42,Afghanistan,1439500
43,Ghana,1347071
44,Australia,1335680
45,Colombia,1326251
46,Poland,1281240
47,Mozambique,1248402
48,Malaysia,1224108
49,Uzbekistan,1223302
50,Madagascar,1169872
51,Cameroon,1159143
52,Venezuela,1012033
53,Peru,1004952
54,Chile,931351
55,North Korea,887635
56,Taiwan,866213
57,Ivory Coast,862072
58,Tunisia,860332
59,Netherlands,846285
60,Somalia,827425
61,Sri Lanka,810662
62,Romania,778530
63,Kazakhstan,765561
64,Greece,742471
65,Burkina Faso,738114
66,Portugal,728477
67,Ecuador,722921
68,Zambia,707341
69,Syria,705460
70,Malawi,690570
71,Niger,668674
72,Guatemala,630395
73,Cuba,618899
74,Mali,617956
75,Rwanda,616988
76,Chad,602403
77,Belarus,589484
78,Sweden,581394
79,Senegal,565372
80,Cambodia,561155
81,Jordan,555445
82,Belgium,551178
83,United Arab Emirates,522502
84,Burundi,510984
85,Bolivia,497236
86,Switzerland,490965
87,Israel,486165
88,Zimbabwe,469517
89,Dominican Republic,467825
90,Czech Republic,466479
91,Haiti,466386
92,Guinea,462804
93,Benin,456972
94,Hungary,428252
95,Azerbaijan,388048
96,Libya,381599
97,Serbia,381113
98,Austria,370661
99,Lebanon,366343
100,South Sudan,359972
101,Honduras,351345
102,Palestine,340434
103,Finland,317876
104,Togo,314859
105,Bulgaria,310731
106,Republic of the Congo,307724
107,Sierra Leone,307499
108,Tajikistan,302517
109,Papua New Guinea,287340
110,Central African Republic,287235
111,Eritrea,279509
112,Denmark,278863
113,Paraguay,278755
114,Ireland,276289
115,Norway,262860
116,Kyrgyzstan,261330
117,El Salvador,256861
118,Nicaragua,245236
119,Kuwait,236054
120,Slovakia,229965
121,Oman,229420
122,Laos,211888
123,New Zealand,207189
124,Liberia,204564
125,Costa Rica,202051
126,Croatia,196332
127,Lithuania,183516
128,Moldova,181855
129,Georgia,181745
130,Turkmenistan,180174
131,Qatar,159780
132,Panama,153691
133,Singapore,143565
134,Bosnia and Herzegovina,142704
135,Uruguay,141599
136,Mongolia,136590
137,Mauritania,134222
138,Armenia,131266
139,Puerto Rico,126122
140,Lesotho,124289
141,Botswana,121311
142,Latvia,115857
143,Gambia,110356
144,Jamaica,107968
145,Gabon,106925
146,Namibia,103121
147,Slovenia,99923
148,Albania,94653
149,Bahrain,92744
150,North Macedonia,87486
151,Equatorial Guinea,80218
152,Estonia,77324
153,Trinidad and Tobago,74051
154,Guinea Bissau,72606
155,Mauritius,67636
156,Eswatini,60475
157,Cyprus,57001
158,Djibouti,55796
159,Guyana,46214
160,Timor Leste,37194
161,Suriname,35669
162,Cape Verde,32720
163,Comoros,32600
164,Bhutan,32390
165,Fiji,29795
166,Luxembourg,28620
167,Montenegro,26148
168,Solomon Islands,18687
169,Maldives,18624
170,Malta,18516
171,Belize,15454
172,Bahamas,15050
173,Barbados,13185
174,Iceland,13049
175,Brunei,9166
176,Vanuatu,8687
177,Saint Lucia,8167
178,Sao Tome and Principe,7371
179,Guam,6217
180,Samoa,5531
181,Saint Vincent and the Grenadines,4857
182,Andorra,4554
183,Greenland,4477
184,Grenada,4118
185,Seychelles,3644
186,Antigua and Barbuda,3462
187,Kiribati,3454
188,Micronesia,3078
189,Saint Kitts and Nevis,3043
190,Bermuda,2915
191,Tonga,2669
192,Dominica,2636
193,Monaco,2191
194,San Marino,1946
195,Northern Mariana Islands,1705
196,Marshall Islands,1654
197,American Samoa,1420
198,Palau,722
199,Cook Islands,681
200,Tuvalu,404
201,Nauru,328
202,Niue,62